url,text
https://simple.wikipedia.org/wiki/Carl%20Vinson,Carl Vinson November    June   was an American politician. He served as a Representative from Georgia. He was a Democrat. He was the first person to serve for more than  years in the United States House of Representatives. He was known as The Father of the TwoOcean Navy.Other websites University of Georgia brief biography  University of Georgia Profile of Carl Vinson  Congressional Biography entry in the New Georgia Encyclopedia   United States Navy website  USS CARL VINSON  Mercer University Press Carl Vinson Patriarch of the Armed Forces   Vinson Institute Press Carl Vinson  A Legacy of Public Service   births deathsDeans of the United States House of RepresentativesUnited States representatives from GeorgiaUS Democratic Party politiciansthcentury American politicians
https://simple.wikipedia.org/wiki/Oberhasli%20%28district%29,The district of Oberhasli in the Swiss canton of Bern has  municipalities in an area of . km.Oberhasli
https://simple.wikipedia.org/wiki/Norman%2C%20Arkansas,Norman is a town in the US state of Arkansas.Towns in Arkansas
https://simple.wikipedia.org/wiki/Dorothy%20Stratten,Dorothy Stratten or Dorothy Ruth Hoogstraten February    August   was a Canadian model and actress. She was born in Vancouver British Columbia. She later moved to Los Angeles. She appeared in three comedy movies and several television series. She was also Playboy Playmate of the Month in August  and Playmate of the Year in . Stratten was shot dead in Los Angeles by her estranged husband Paul Snider who committed suicide the same day.ReferencesOther websites  births deathsActors from VancouverCanadian modelsCanadian movie actorsCanadian television actorsMurdersuicides in the United StatesMurders by firearm in the United States
https://simple.wikipedia.org/wiki/Space%20Shuttle%20Columbia,The Space Shuttle Columbia OVwas a spacecraft used by NASA to fly into outer space. It was the first Space Shuttle to fly into space on April  . It broke apart while reentering the Earths atmosphere on February   killing all seven people who were on it at the time. The shuttle flew a total of  missions. The Columbia was named after a US Navy ship that circumnavigated the world in . It was also the name of the Apollo  Lunar Excursion Module.Cause of destruction A piece of insulating foam from the external fuel tank peeled off during the launch  days earlier and struck the shuttles left wing.A hole was punctured in the leading edge of the wing. During the intense heat of reentry hot gases entered the interior of the wing destroying the support structures and causing the rest of the shuttle to break apart.Crew Commander Rick D. Husband a U.S. Air Force colonel and mechanical engineer who piloted a previous shuttle during the first docking with the International Space Station STS. Pilot William C. McCool a U.S. Navy commander Payload Commander Michael P. Anderson a U.S. Air Force lieutenant colonel and physicist who was in charge of the science mission. Payload Specialist Ilan Ramon a colonel in the Israeli Air Force and the first Israeli astronaut. Mission Specialist Kalpana Chawla an Indianborn aerospace engineer on her second space mission. Mission Specialist David M. Brown a U.S. Navy captain trained as an aviator and flight surgeon. Brown worked on a number of scientific experiments. Mission Specialist Laurel Clark a U.S. Navy captain and flight surgeon. Clark worked on a number of biological experiments.MissionsReferences Columbia
https://simple.wikipedia.org/wiki/Braggio,Braggio is a former municipality of the district of Moesa in the canton of Graubnden in Switzerland. On  January  the former municipalities of Braggio Arvigo Cauco and Selma merged into the new municipality of Calanca.Former municipalities of Graubnden
https://simple.wikipedia.org/wiki/A%20Coru%C3%B1a,A Corua is a city on the north coast of Spain. It is a municipality of Galicia Spain and the secondlargest city in Galicia. It is the th largest city in Spain.The city is the capital of A Corua Province and was the political capital of the Kingdom of Galicia.ReferencesOther websitesMunicipalities in GaliciaCities in GaliciaCapital cities in Spain
https://simple.wikipedia.org/wiki/Antei,was a  after Gennin and before Kangi.  This period started in December  and ended in March .  The reigning emperor was .Events of the Antei Era  Antei  st month Fujiwara Kintsugu died at age .  He had been Minister of the Right udaijin and Minister of the Left sadaijin.  Antei  nd month The emperor raised Fujiwara no Nagako the daughter of Konoe Iezane to the rank of empress consort chg.Related pages  Kamakura periodReferencesOther websites National Diet Library The Japanese Calendar  historical overview plus illustrative images from librarys collectionJapanese erass in Japan
https://simple.wikipedia.org/wiki/Robert%20Catesby,Robert Catesby  March    November  was a conspirator and leader of group who planned the Gunpowder Plot but failed.References  births deathsBritish peopleEnglish Roman CatholicsPeople from WarwickshireDeaths by firearm in England
https://simple.wikipedia.org/wiki/Oakland%2C%20Kentucky,Oakland is a city of Kentucky in the United States.Cities in Kentucky
https://simple.wikipedia.org/wiki/So%20Close,So Close is the first album by British singersongwriter Dina Carroll. It was released in January  on the AM label. It entered the charts at . The album eventually sold . million copies in the UK. So Close won the Mercury Prize as Album of the Year in .Track listingAll tracks composed by Dina Carroll and Nigel Lowis unless stated. Special Kind of Love David Cole Robert Clivills    Hold On    This Time    Falling    So Close    Aint No Man    Express    Heaven Sent    Youll Never Know    Dont Be a Stranger Coral Gordon Geoff Gurd    Why Did I Let You Go    If I Knew You Then CreditsArranged By Strings  Nigel Lowis tracks   Design  Jeremy Pearce Drum Programming  CJ Mackintosh tracks   to  Nigel Lowis tracks   Engineer Producer Additional Production  Steve Boyer tracks   Guitar  Nigel Lowis tracks    Keyboards  Nigel Lowis tracks      Leader Strings  David Nadien tracks   Mixed By  CJ Mackintosh tracks      Nigel Lowis tracks   to    Mixed By Assistant  Howie B. tracks    Niall Flynn tracks     Performer All Instruments  CJ Mackintosh tracks   Nigel Lowis tracks    Photography By  Simon Fowler  Producer  CJ Mackintosh tracks   Nigel Lowis tracks  to  Saxophone  Jimmy Gallagher tracks   WrittenBy  Dina Carroll tracks  to  Nigel Lowis tracks  to References albumsDebut albumsDance albumsRB albumsSoul albums
